CustomerNumber|Address1|Address2|Address3|Address4|PostCodeOut|PostCodeIn|PostCode|CountryCode|ExtractDate
1000000275|2-4 Finchfield RoadWest|Finchfield|Wolverhampton||SA13|1EX|SA13 1EX|GB|2020-01-01
1000000276|8 Market Place|Frome|Somerset||BN7 |1TG|BN7 1TG |GB|2020-01-01
1000000277|446 Chester Road|Little Sutton|||SN1 |1SN|SN1 1SN |GB|2020-01-01
1000000278|60b Goring Road|Goring|WestSussex||EX31|1BL|EX31 1BL|GB|2020-01-01
1000000279|59 Kings Street|Knutsford|||CV37|6JG|CV37 6JG|GB|2020-01-01
1000000280|10 Southbourne Grove|Boscombe East|Dorset||CW1 |2JJ|CW1 2JJ |GB|2020-01-01
1000000281|18 Keymer Road|Hassocks|West Sussex||DA6 |7DW|DA6 7DW |GB|2020-01-01
1000000282|328 Lymington Road|Highcliffe|Dorset||TQ12|2AQ|TQ12 2AQ|GB|2020-01-01
1000000283|20 High Street|Hungerford|Berkshire||PE21|6EN|PE21 6EN|GB|2020-01-01
1000000284|101 High Street|Crowthorne|Berkshire||SO50|5RX|SO50 5RX|GB|2020-01-01
1000000285|3 Station Hill|Cookham|Berkshire||E10 |6BB|E10 6BB |GB|2020-01-01
1000000286|47 High Street|Egham|Surrey||LN5 |7DW|LN5 7DW |GB|2020-01-01
1000000287|131 Broadway|Didcot|Oxfordshire||BT38|7AW|BT38 7AW|GB|2020-01-01
1000000288|26-28 Market Street|Kingswinford|West Midlands||NR18|0AG|NR18 0AG|GB|2020-01-01
1000000289|9-11 High Street|Leominster|Herefordshire||SN12|6LS|SN12 6LS|GB|2020-01-01
1000000290|12 Market Street|Crewkerne|Somerset||BL1 |1HQ|BL1 1HQ |GB|2020-01-01
1000000291|246 Upper Street|Islington|London||DE7 |8AH|DE7 8AH |GB|2020-01-01
1000000292|135 Fenchurch Street|Fenchurch St|London||E6  |2JA|E6 2JA  |GB|2020-01-01
1000000293|3 Dene Drive|Winsford|||WC1V|6PN|WC1V 6PN|GB|2020-01-01
1000000294|46 Portman Square|Portman Square|London||TN30|6BJ|TN30 6BJ|GB|2020-01-01
1000000295|5 West Street|New Alresford|Hampshire||W4  |1NP|W4 1NP  |GB|2020-01-01
1000000296|62 Station Road|New Milton|Hampshire||ML6 |6EQ|ML6 6EQ |GB|2020-01-01
1000000297|22 Linthorpe Road|Middlesbrough|Cleveland||PR7 |1BG|PR7 1BG |GB|2020-01-01
1000000298|69 High Street|West Malling|Kent||S1  |1EQ|S1 1EQ  |GB|2020-01-01
